Название доработки;Описание;Отрасли;Продукты;Подразделения;Ссылка;Кейс с ТЗ
Персонализированное информирование;Система автоматически подбирает персональное сообщение для каждого клиента. Вместо привычного ожидания на линии пользователь сразу получает именное приветствие и таргетированное бизнес-предложение.;Розничная торговля|Интернет-магазины|Сфера услуг по записи|Медицинские центры|Автосервисы|Фитнес-клубы|Салоны красоты;Личный кабинет|Контакт-центр|IVR;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-b4fe4707-344b-4ffe-b250-d02eb21f66a5;
Добавление региона абонента в интерфейс;Автоматическое определение региона РФ  или страны по коду города или мобильной серии номера происходит при входящих и исходящих вызовах. Полученные данные отображаются на рабочем месте оператора, а также фиксируются в системе для последующей аналитики.;Интернет-магазины|Финансовый сектор и страхование|Кадровые агентства и массовый подбор|Телемедицина;Виртуальная АТС|Контакт-центр|Отчеты;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-d6d24aa3-f297-43d8-b09a-5a291fb1f5a1;
Настройка сценариев для пропущенных звонков;Чтобы исключить из аналитики «ложные» пропущенные вызовы (например, сброс со стороны клиента в первые секунды IVR), заказчику предоставляется возможность самостоятельно определять минимальную длительность входящего звонка, после которой неотвеченный вызов будет считаться пропущенным.;;Виртуальная АТС|Контакт-центр;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-a1fb1464-777e-4135-a8ac-f89e5c3c9806;
Система гибкого и точного управления нагрузкой;Способ распределения звонков в Контакт-Центре, который позволяет задавать количество входящих звонков в % соотношении на выбранную группу сотрудников или внешнюю SIP-линию.;Финансовый сектор и страхование|Онлайн-ритейл|Медицинские центры|Интернет-магазины;Виртуальная АТС|Контакт-центр;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/64ddb1f4-64a3-11f1-a72c-b630c75bc299;Да
OAuth 2.0 Интеграция;В Контакт-центр внедряется технология, которая позволяет системе «узнавать» корпоративного пользователя, не запрашивая и не сохраняя его пароль на своей стороне.;Финансовый сектор и страхование|Розничная торговля|Онлайн-ритейл|IT и разработка;Контакт-центр;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/5178b85f-64a3-11f1-a72c-b630c75bc299;Да
Интеграция Контакт-центра с HRM-системами;Инструмент для ликвидации информационных разрывов между внешними платформами на примере HH.ru (а также: Skillaz, Avito, E-Staff, Поток, Flomni и других систем) и Контакт-центром MANGO OFFICE.;;Интеграции|Контакт-центр;Отдел подбора;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/78b68e1f-5519-11f1-a72c-b630c75bc299;Да
Кастомизация логотипа в интерфейсе;Добавление логотипа вашей компании в интерфейсы продуктов MANGO OFFICE: рабочее место оператора, мессенджера и системных окон. Глобальное брендирование (изменение цветов, шрифтов) не требуется.;;Контакт-центр;Контакт-центр|Службы поддержки|Отдел продаж|Бэк-офис;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-30c0a24c-ad03-4b7e-b220-52925cb2a63d;
Модуль сквозного шифрования медиаданных;Создание защищенного контурного решения «под ключ». Позволяет безопасно передавать и декодировать медиаконтент без привлечения собственных технических специалистов и расходов на внедрение.;Медицинские центры|Финансовый сектор и страхование|Государственный сектор;Информационная безопасность;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-0528b840-97aa-45b2-82c8-17273012743c;
Распределение обращений по компетенциям;Автоматическая маршрутизация клиентов к профильным экспертам сокращает время на решение и повышает качество обработки приоритетных обращений.;;IVR|Виртуальная АТС|Контакт-центр;Контакт-центр|Службы поддержки|Отдел продаж|Бэк-офис;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-ad2605f1-f020-407d-8226-0da679c68710;
Голосовое подтверждение записи в МИС;Модуль автоматически выгружает из медицинской информационной системы (МИС) списки записанных пациентов и передает их роботу для обзвона, чтобы клиент подтвердил визит. Результат звонка автоматически возвращается в расписание клиники, что позволяет оперативно освободить слот в расписании врача в случае отмены визита.;Медицинские центры|Косметология|Ветеринария;Интеграции|Роботы;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-7b346c94-dbf4-4d63-a910-db078a503ba6;
Настройка интеграции для систем бизнес-аналитики;Интеграция собирает и передает в вашу корпоративную систему бизнес-аналитики (BI) метрики удовлетворенности клиентов, качества обработки заявок и операционной нагрузки сотрудников.;Гостиничное дело|Заказ такси|Онлайн-ритейл|Логистика|Службы доставки|Онлайн-образование|Медицинские центры|Финансовый сектор и страхование;Интеграции;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-9bf5ae22-7752-47f8-9a36-a57d9c42e0da;
Настройка чек-листов Речевой аналитики;Услуга включает проектирование чек-листов для Речевой аналитики под новые скрипты продаж и создание правил обнаружения стоп-слов в речи сотрудников. Также включает разработку маркеров удовлетворенности клиентов на основе анализа тональности и ключевых фраз в диалоге.;;Речевая аналитика;Отдел подбора|Отдел продаж|Службы поддержки|Клиентский сервис|Контакт-центр|Бэк-офис;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-62592c2a-1a2b-4555-b448-18c8718f24fc;
Индивидуальные аналитические панели;Разработка и настройка программного интерфейса (API) для автоматической передачи индивидуальных операционных данных в вашу корпоративную систему бизнес-аналитики (BI).;;Интеграции|Wallboard;Контакт-центр|Службы поддержки|Отдел продаж|Бэк-офис;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/04c23f90-6496-11f1-a72c-b630c75bc299#block-19f3e3ee-456f-45f9-9f8c-a80b0014d043;
Брендирование виджета «Манго Диалоги»;Решение объединяет все нужные текстовые каналы связи в одной лаконичной кнопке в фирменном стиле заказчика.;Розничная торговля|Медицинские центры|Недвижимость|Гостиничное дело|Сфера услуг по записи;Контакт-центр|Манго Диалоги;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/c3660d88-6f95-11f1-a72c-b630c75bc299;Да
Группы-помощники;Алгоритм обеспечивает динамическое перенаправление звонков из перегруженной основной группы в простаивающую группу-помощник при отсутствии свободных операторов или превышении времени ожидания.;IT и разработка|Телеком|ЖКХ|Интернет-магазины|Онлайн-ритейл|Финансовый сектор и страхование|Медицинские центры|Гостиничное дело;Виртуальная АТС|Контакт-центр;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/f897d7bf-6f97-11f1-a72c-b630c75bc299;Да
Безопасные коммуникации;При входящем звонке алгоритм проверяет наличие открытого заказа в CRM и связывает клиента с курьером, скрывая их фактические контактные данные.;Заказ такси|Доставка|Недвижимость|Медицинские центры;Виртуальная АТС|Контакт-центр|Роботы|Интеграции;;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/a1606d58-6f99-11f1-a72c-b630c75bc299;Да
Персональные линии менеджера;"Ограничение доступа к общему номерному
фонду за счет закрепления выделенных номеров
за менеджерами";Аутсорсинговые контакт-центры|Строительные компании|Интернет-магазины|Финансовый сектор и страхование|Медицинские центры|Логистика|Кадровые агентства и массовый подбор;Виртуальная АТС|Контакт-центр|Манго Толкер;Отдел подбора|Контакт-центр|Клиентский сервис;https://academy.mango-office.ru/app/user-portal/knowledge-base/content-player/9c5411e5-a773-11f1-ae55-5274ea368b3f;Да
